               epoch,          train_loss,            val_loss,         auroc_macro,          aupr_macro,      auroc_weighted,       aupr_weighted
                   1,               0.071,            0.047256,             0.97646,             0.77512,             0.97253,             0.81658
                   2,            0.047063,            0.044732,             0.97892,             0.78955,             0.97505,             0.83016
                   3,            0.044418,             0.04316,             0.97982,             0.79874,             0.97614,             0.83694
                   4,            0.042776,            0.042493,             0.98062,             0.80457,             0.97689,             0.84176
                   5,            0.041512,            0.042103,             0.98082,             0.80628,             0.97733,             0.84356
                   6,            0.040615,            0.041828,             0.98111,             0.80781,             0.97784,             0.84479
                   7,            0.039741,            0.042158,             0.98117,             0.80952,             0.97786,             0.84509
                   8,            0.038909,            0.041735,             0.98128,             0.81094,             0.97798,             0.84674
                   9,            0.038222,            0.041381,             0.98129,             0.81208,             0.97821,             0.84904
                  10,            0.037604,            0.041662,             0.98137,              0.8103,             0.97822,             0.84865
                  11,            0.036952,            0.041876,             0.98159,             0.81158,             0.97827,             0.84875
                  12,            0.034874,            0.040621,             0.98222,             0.81556,             0.97923,             0.85313
                  13,            0.034365,            0.040589,             0.98226,             0.81653,             0.97927,             0.85377
                  14,            0.034166,            0.040668,             0.98222,             0.81709,              0.9792,             0.85361
                  15,            0.033816,            0.040729,             0.98207,             0.81618,             0.97912,             0.85325
                  16,            0.033736,             0.04064,             0.98214,             0.81653,             0.97919,              0.8536
                  17,            0.033574,            0.040677,              0.9821,             0.81613,             0.97919,             0.85342
                  18,            0.033665,             0.04059,             0.98221,             0.81664,             0.97925,             0.85378
                  19,            0.033545,            0.040712,             0.98209,             0.81673,             0.97918,             0.85372
                  20,            0.033648,            0.040805,             0.98205,             0.81615,              0.9791,             0.85329
                  21,            0.033519,            0.040725,              0.9821,             0.81648,             0.97916,              0.8534
                  22,            0.033622,            0.040644,             0.98213,             0.81685,              0.9792,             0.85359
                  23,            0.033553,            0.040662,             0.98216,             0.81679,             0.97923,             0.85374
                  24,            0.033482,            0.040618,             0.98219,             0.81715,             0.97925,             0.85381
                  25,            0.033641,            0.040646,             0.98212,             0.81644,             0.97918,             0.85361
                  26,            0.033562,            0.040634,             0.98217,             0.81666,             0.97926,             0.85383
                  27,            0.033644,            0.040644,             0.98216,             0.81674,              0.9792,             0.85365
                  28,            0.033492,            0.040551,             0.98222,             0.81719,              0.9793,             0.85388
                  29,             0.03361,             0.04068,              0.9821,             0.81643,             0.97917,             0.85344
                  30,            0.033627,             0.04052,             0.98216,              0.8167,             0.97925,             0.85381
