               epoch,          train_loss,            val_loss,         auroc_macro,          aupr_macro,      auroc_weighted,       aupr_weighted
                   1,             0.12433,            0.082211,             0.95806,             0.78111,             0.95751,             0.85634
                   2,            0.091307,            0.077769,             0.96146,             0.79537,             0.96056,             0.86656
                   3,             0.08691,            0.075346,             0.96387,             0.80024,             0.96323,             0.87083
                   4,            0.084076,            0.075055,             0.96405,              0.8045,              0.9636,             0.87387
                   5,            0.081238,            0.074451,             0.96482,             0.80939,             0.96481,             0.87737
                   6,            0.079179,            0.073289,             0.96592,             0.80841,              0.9659,             0.87729
                   7,            0.077556,            0.073082,             0.96683,              0.8126,             0.96564,             0.87925
                   8,            0.075577,            0.072311,             0.96643,             0.81103,             0.96625,             0.87979
                   9,            0.074329,            0.072942,             0.96588,             0.80887,             0.96605,             0.87887
                  10,            0.072853,            0.073217,             0.96597,             0.81093,             0.96596,             0.87983
                  11,             0.06867,            0.071419,             0.96712,             0.81519,             0.96705,             0.88254
                  12,            0.067723,            0.071508,             0.96728,             0.81508,             0.96706,             0.88234
                  13,            0.067488,            0.071312,             0.96731,             0.81623,             0.96715,             0.88304
                  14,            0.066554,            0.071497,             0.96718,             0.81545,             0.96709,             0.88262
                  15,            0.066329,            0.071413,             0.96729,             0.81527,             0.96711,             0.88243
                  16,            0.065643,            0.071384,             0.96718,             0.81526,             0.96708,             0.88251
                  17,            0.065771,            0.071447,             0.96725,             0.81503,             0.96716,              0.8825
                  18,            0.065587,            0.071463,             0.96727,             0.81518,             0.96717,             0.88251
                  19,            0.065482,            0.071284,              0.9673,             0.81546,             0.96721,             0.88286
                  20,            0.065415,            0.071662,             0.96721,             0.81464,             0.96705,             0.88218
                  21,            0.065378,            0.071353,             0.96723,             0.81543,             0.96719,             0.88273
                  22,            0.065515,            0.071585,              0.9672,             0.81515,             0.96713,             0.88255
                  23,            0.065105,            0.071502,             0.96724,             0.81499,             0.96712,             0.88251
                  24,            0.065551,            0.071515,             0.96724,              0.8149,             0.96718,             0.88244
                  25,            0.065515,            0.071406,             0.96714,             0.81502,             0.96712,             0.88249
                  26,            0.065163,            0.071478,             0.96723,             0.81496,             0.96716,             0.88253
                  27,            0.065314,            0.071342,             0.96729,             0.81525,             0.96718,             0.88268
                  28,             0.06532,            0.071385,             0.96725,             0.81552,             0.96722,             0.88281
                  29,            0.065501,            0.071619,              0.9671,             0.81471,             0.96704,             0.88234
                  30,            0.065284,            0.071272,             0.96732,             0.81561,             0.96726,             0.88288
