               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080692,            0.030624,            0.044648,             0.36719,             0.29423,               0.195,            0.069522,            0.066247,            0.041341,            0.025702,           0.0033302,           0.0033302,            0.070028
                   1,            0.067825,            0.027906,            0.025537,             0.46362,             0.30437,             0.26615,             0.10436,            0.063268,            0.042201,            0.023744,           0.0064437,           0.0064437,            0.039808
                   2,            0.065849,            0.028738,            0.025912,             0.45031,             0.21166,             0.17774,            0.068986,            0.065236,            0.044606,            0.028361,           0.0093371,           0.0093371,           0.0093681
                   3,            0.063999,            0.028991,            0.025231,             0.45318,             0.33038,             0.30713,             0.13839,            0.058628,            0.042104,            0.021163,             0.00901,             0.00901,             0.00901
                   4,            0.061448,            0.028606,            0.022986,             0.51024,             0.36211,             0.35406,             0.17166,            0.056489,             0.04172,            0.019516,             0.00901,             0.00901,             0.00901
                   5,            0.059784,            0.028355,            0.021318,             0.55122,             0.38085,             0.38583,             0.19836,             0.05416,            0.040953,            0.017164,             0.00868,             0.00868,             0.00868
                   6,            0.058675,            0.028164,              0.0205,             0.59312,              0.4078,             0.41576,             0.22021,            0.052666,            0.040696,            0.016173,             0.00835,             0.00835,             0.00835
                   7,            0.057902,            0.028028,            0.019654,             0.58836,             0.42456,             0.44077,             0.24163,            0.051541,            0.040047,            0.015248,             0.00802,             0.00802,             0.00802
                   8,            0.057371,            0.027967,            0.019316,             0.61105,             0.42024,             0.44699,             0.25039,            0.050887,            0.039773,            0.014721,             0.00769,             0.00769,             0.00769
                   9,            0.056694,            0.027782,             0.01872,             0.61316,             0.44166,             0.46024,             0.25884,            0.050289,            0.039533,            0.014277,             0.00736,             0.00736,             0.00736
                  10,            0.056078,            0.027716,            0.018269,             0.61104,             0.45614,             0.46916,             0.26975,            0.049622,            0.039387,            0.013763,             0.00703,             0.00703,             0.00703
                  11,            0.055535,            0.027498,            0.017743,             0.62755,              0.4596,             0.47871,             0.27725,            0.049223,            0.039107,            0.013307,              0.0067,              0.0067,              0.0067
                  12,            0.055076,            0.027472,              0.0173,             0.64125,             0.45687,             0.48393,             0.28181,             0.04881,            0.038971,            0.013105,             0.00637,             0.00637,             0.00637
                  13,            0.054635,            0.027323,             0.01681,             0.63688,             0.46634,             0.48935,             0.28752,            0.048486,            0.038874,            0.012862,             0.00604,             0.00604,             0.00604
                  14,            0.054337,            0.027285,            0.016661,             0.59999,             0.46245,             0.49344,             0.29071,            0.048222,            0.038779,             0.01278,             0.00571,             0.00571,             0.00571
                  15,            0.053823,             0.02713,            0.016077,             0.59159,             0.47728,             0.49675,             0.29384,            0.048015,            0.038711,            0.012623,             0.00538,             0.00538,             0.00538
                  16,            0.053427,            0.027106,            0.015807,             0.60326,             0.47734,             0.49868,             0.29561,            0.047838,            0.038648,            0.012504,             0.00505,             0.00505,             0.00505
                  17,            0.053083,            0.026948,            0.015481,             0.62647,             0.46979,             0.50098,             0.29791,            0.047689,            0.038595,              0.0124,             0.00472,             0.00472,             0.00472
                  18,            0.052745,            0.026821,             0.01532,             0.63964,             0.46224,             0.50323,             0.30021,            0.047554,            0.038538,            0.012313,             0.00439,             0.00439,             0.00439
                  19,            0.052219,              0.0268,            0.014763,             0.64403,             0.46367,             0.50459,             0.30209,            0.047433,            0.038494,            0.012218,             0.00406,             0.00406,             0.00406
                  20,             0.05188,            0.026584,            0.014405,             0.65159,              0.4634,             0.50638,             0.30415,            0.047311,            0.038436,            0.012129,             0.00373,             0.00373,             0.00373
                  21,            0.051415,            0.026513,            0.014019,             0.64712,             0.46925,              0.5085,             0.30621,            0.047192,            0.038387,            0.012041,              0.0034,              0.0034,              0.0034
                  22,            0.051087,            0.026443,            0.013643,             0.64899,             0.47004,             0.50996,             0.30751,            0.047078,            0.038333,             0.01196,             0.00307,             0.00307,             0.00307
                  23,            0.050774,            0.026196,            0.013248,             0.66712,             0.46236,             0.51205,             0.30979,            0.046967,            0.038277,            0.011869,             0.00274,             0.00274,             0.00274
                  24,            0.050203,            0.026133,            0.012953,             0.65033,             0.46985,             0.51416,             0.31154,            0.046852,            0.038225,             0.01178,             0.00241,             0.00241,             0.00241
                  25,            0.049674,             0.02598,            0.012388,             0.64308,             0.47475,              0.5166,             0.31383,            0.046735,            0.038169,              0.0117,             0.00208,             0.00208,             0.00208
                  26,            0.049201,            0.025793,            0.012028,             0.63516,             0.48061,             0.51848,             0.31569,             0.04662,            0.038117,            0.011617,             0.00175,             0.00175,             0.00175
                  27,            0.048801,            0.025591,             0.01157,             0.63676,             0.48454,             0.52025,             0.31771,            0.046508,            0.038069,            0.011538,             0.00142,             0.00142,             0.00142
                  28,            0.048143,            0.025512,            0.011045,             0.64893,             0.48149,             0.52221,             0.31958,            0.046397,            0.038022,            0.011456,             0.00109,             0.00109,             0.00109
                  29,            0.047727,            0.025198,            0.010688,             0.62694,             0.49384,             0.52458,             0.32191,            0.046295,             0.03798,            0.011382,             0.00076,             0.00076,             0.00076
