               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092683,            0.023087,            0.072621,            0.003914,            0.019179,           0.0055863,           0.0013806,            0.081941,            0.028474,            0.067124,             0.00089,             0.00089,             0.09199
                   1,            0.073986,            0.023404,            0.061415,            0.037076,             0.12899,             0.03168,            0.007585,            0.066344,            0.027638,            0.055435,           0.0017309,           0.0017309,            0.083831
                   2,             0.06612,            0.020864,            0.052503,            0.097355,             0.17958,            0.085763,            0.025848,            0.059233,            0.024816,            0.044362,           0.0025125,           0.0025125,            0.075612
                   3,            0.062899,            0.018976,            0.044587,            0.095996,             0.29246,             0.10057,             0.03074,             0.05995,            0.024023,            0.039039,           0.0032346,           0.0032346,            0.067335
                   4,            0.062274,            0.017653,            0.038565,             0.20714,             0.31624,             0.15802,            0.047708,            0.058883,             0.02286,            0.034263,           0.0038973,           0.0038973,            0.058997
                   5,            0.061549,            0.017098,            0.033652,             0.28339,             0.38093,              0.2525,            0.080582,            0.056899,            0.023353,            0.028922,           0.0045007,           0.0045007,            0.050601
                   6,            0.060565,            0.016892,            0.029432,             0.28565,             0.30286,             0.20365,            0.060861,             0.06305,            0.031909,            0.036045,           0.0050446,           0.0050446,            0.042145
                   7,            0.060692,            0.016952,            0.029299,             0.31601,             0.34947,             0.23419,            0.073396,            0.060834,            0.025869,            0.029721,           0.0055291,           0.0055291,            0.033629
                   8,            0.060386,            0.017074,            0.028664,             0.31702,              0.2999,             0.22742,            0.072829,             0.05989,            0.023517,            0.033264,           0.0059542,           0.0059542,            0.025054
                   9,            0.059491,            0.017193,             0.02955,             0.28034,                0.33,             0.19769,            0.064735,            0.059818,            0.024325,            0.034639,             0.00632,             0.00632,             0.01642
                  10,            0.059176,            0.017276,            0.029691,             0.23524,             0.28515,             0.16523,             0.05068,            0.064815,            0.024173,            0.034831,           0.0066263,           0.0066263,           0.0077263
                  11,            0.059395,            0.017274,            0.030278,             0.30908,             0.27755,             0.19494,            0.065636,            0.061764,            0.024029,            0.038351,             0.00637,             0.00637,             0.00637
                  12,            0.058231,            0.017241,            0.028309,             0.24042,             0.28265,             0.17004,            0.053795,            0.059267,            0.024392,             0.03036,             0.00637,             0.00637,             0.00637
                  13,            0.057094,            0.016886,            0.026626,             0.39281,             0.36957,             0.30831,             0.11278,            0.055201,            0.022547,            0.026523,             0.00604,             0.00604,             0.00604
                  14,            0.055542,            0.016661,            0.023975,             0.39288,             0.42201,             0.35487,             0.13191,            0.053576,            0.022597,            0.024501,             0.00571,             0.00571,             0.00571
                  15,            0.054026,            0.016469,            0.022164,             0.42222,             0.38145,             0.33156,             0.12575,            0.053938,            0.023353,            0.024257,             0.00538,             0.00538,             0.00538
                  16,            0.052269,            0.016169,            0.020399,             0.52472,             0.41417,             0.42569,             0.18009,             0.05017,            0.021914,            0.021781,             0.00505,             0.00505,             0.00505
                  17,            0.052578,            0.015934,            0.018776,             0.47722,             0.45001,             0.42356,             0.16912,            0.051709,             0.02154,            0.021173,             0.00472,             0.00472,             0.00472
                  18,            0.051284,            0.015883,             0.01838,             0.51337,             0.43479,             0.43092,             0.17791,            0.050476,            0.021928,            0.024266,             0.00439,             0.00439,             0.00439
                  19,            0.050198,             0.01579,            0.018111,             0.50176,             0.46905,             0.45881,             0.20045,             0.04785,            0.021996,            0.020299,             0.00406,             0.00406,             0.00406
                  20,            0.049716,            0.015518,            0.016707,              0.5745,             0.51637,             0.52556,             0.24067,            0.047137,            0.021076,            0.018335,             0.00373,             0.00373,             0.00373
                  21,            0.048687,            0.015378,            0.016456,             0.60308,             0.48161,             0.52023,             0.24144,             0.04688,            0.021377,            0.018626,              0.0034,              0.0034,              0.0034
                  22,            0.048109,            0.015135,            0.015044,             0.62291,             0.50786,             0.54553,             0.26297,             0.04613,            0.020777,            0.017538,             0.00307,             0.00307,             0.00307
                  23,            0.046553,            0.014932,            0.013839,             0.61457,              0.5307,             0.55652,             0.26977,            0.044644,            0.021555,            0.016298,             0.00274,             0.00274,             0.00274
                  24,            0.045997,            0.014746,             0.01308,             0.60801,             0.55616,             0.58013,             0.28949,            0.043763,            0.020478,             0.01532,             0.00241,             0.00241,             0.00241
                  25,            0.044824,            0.014621,            0.012007,             0.64632,             0.55474,             0.59029,             0.29915,            0.042827,            0.020145,            0.014639,             0.00208,             0.00208,             0.00208
                  26,             0.04385,            0.014458,            0.010902,             0.64112,              0.5614,              0.5976,              0.3037,            0.042782,            0.020107,            0.014161,             0.00175,             0.00175,             0.00175
                  27,            0.042904,            0.014154,           0.0099844,             0.66305,             0.58498,             0.62911,             0.32921,            0.041807,             0.01972,            0.013581,             0.00142,             0.00142,             0.00142
                  28,            0.042581,            0.013964,            0.010097,             0.68786,             0.57996,             0.63318,             0.33767,            0.041451,            0.019707,            0.013112,             0.00109,             0.00109,             0.00109
                  29,            0.041761,            0.013923,           0.0090039,             0.68135,             0.60482,             0.64173,             0.34786,             0.04098,            0.019582,            0.012825,             0.00076,             0.00076,             0.00076
