               epoch,      train/obj_loss,      train/cls_loss, metrics/AUROC_macro,   metrics/mAP_macro,metrics/AUROC_weighted,metrics/mAP_weighted,        val/obj_loss,        val/cls_loss
                   0,              0.1729,             0.21078,             0.94351,              0.7302,             0.94511,              0.8072,             0.20068,             0.12748
                   1,             0.14678,             0.14968,             0.95124,              0.7609,             0.95231,             0.82744,             0.19482,             0.11603
                   2,             0.14154,             0.13577,             0.95768,             0.77355,             0.95581,             0.83618,             0.18933,             0.10651
                   3,             0.13856,             0.12852,             0.95697,             0.77457,             0.95626,             0.83723,             0.18701,              0.1038
                   4,             0.13546,              0.1224,             0.95865,             0.78078,             0.95782,             0.84242,             0.18464,            0.099491
                   5,             0.13433,             0.11891,             0.96165,             0.79097,             0.96018,             0.84813,             0.18214,            0.098827
                   6,             0.13274,             0.11541,             0.96159,             0.79165,             0.96086,             0.85026,             0.18085,            0.096871
                   7,             0.13155,             0.11176,             0.96226,             0.79416,             0.96142,             0.85231,             0.18096,            0.096332
                   8,             0.13083,              0.1097,             0.96368,             0.79703,             0.96188,             0.85255,             0.18029,            0.094295
                   9,             0.12912,             0.10751,             0.96252,             0.79234,             0.96107,             0.84833,             0.17915,            0.094697
                  10,             0.12837,             0.10513,               0.963,             0.79632,             0.96178,              0.8528,             0.17717,            0.092048
                  11,             0.12737,             0.10327,             0.96373,             0.79542,              0.9622,             0.85119,             0.17651,            0.091127
                  12,             0.12732,             0.10135,             0.96351,             0.79612,             0.96251,             0.85448,             0.17722,            0.092659
                  13,              0.1248,            0.095219,             0.96436,             0.79968,             0.96339,             0.85588,              0.1746,            0.088645
                  14,             0.12393,            0.093365,             0.96451,             0.79963,             0.96364,             0.85565,             0.17442,             0.08851
                  15,             0.12411,            0.092887,             0.96471,             0.80084,             0.96379,             0.85675,             0.17419,            0.088012
                  16,             0.12448,            0.092101,             0.96463,             0.79973,             0.96383,             0.85575,             0.17419,            0.087974
                  17,             0.12373,             0.09206,             0.96502,             0.80082,             0.96389,             0.85629,              0.1741,            0.087745
                  18,             0.12389,            0.091442,             0.96504,             0.80034,             0.96389,             0.85606,             0.17408,            0.087884
                  19,             0.12325,            0.090446,              0.9654,             0.80187,             0.96431,             0.85764,             0.17389,            0.087374
                  20,             0.12343,            0.091354,             0.96527,             0.80165,             0.96429,             0.85763,             0.17392,            0.087439
                  21,             0.12293,            0.090457,             0.96523,             0.80101,             0.96421,             0.85705,             0.17377,            0.087491
                  22,             0.12328,            0.091117,             0.96521,             0.80123,             0.96422,             0.85725,             0.17398,            0.087528
                  23,             0.12351,            0.090653,             0.96534,             0.80191,             0.96442,             0.85804,             0.17381,            0.087249
                  24,             0.12336,            0.090969,             0.96522,              0.8017,             0.96417,             0.85735,             0.17382,            0.087305
                  25,             0.12309,            0.090688,             0.96525,               0.802,             0.96429,             0.85788,             0.17392,            0.087311
                  26,             0.12343,            0.090942,             0.96533,             0.80175,             0.96436,             0.85775,             0.17395,            0.087387
                  27,             0.12324,            0.089885,             0.96537,             0.80172,             0.96431,             0.85763,             0.17395,            0.087285
                  28,             0.12331,            0.090715,             0.96523,             0.80156,             0.96422,             0.85738,             0.17387,              0.0874
                  29,             0.12347,            0.090531,             0.96526,              0.8017,             0.96431,             0.85745,             0.17387,            0.087411
