               epoch,      train/obj_loss,      train/cls_loss, metrics/AUROC_macro,   metrics/mAP_macro,metrics/AUROC_weighted,metrics/mAP_weighted,        val/obj_loss,        val/cls_loss
                   0,             0.35234,             0.45447,             0.80612,             0.30568,             0.82001,             0.42002,              0.6587,             0.53273
                   1,             0.18217,             0.28276,               0.924,             0.66909,             0.93324,             0.74319,             0.22013,             0.21791
                   2,             0.15604,             0.21778,             0.95886,             0.78665,             0.96148,             0.83836,             0.19831,             0.17524
                   3,             0.15016,              0.1892,             0.96892,              0.8347,             0.96993,              0.8703,             0.19172,             0.15154
                   4,             0.14613,             0.16984,             0.97292,             0.84928,             0.97349,             0.88002,             0.18562,             0.13793
                   5,             0.13989,             0.15528,             0.97567,              0.8652,             0.97559,             0.89186,             0.18176,              0.1273
                   6,             0.13987,              0.1458,              0.9779,              0.8673,             0.97728,             0.89259,             0.18046,             0.12365
                   7,             0.13455,             0.14004,             0.97896,             0.87203,             0.97897,             0.89535,             0.18017,             0.12087
                   8,             0.13575,             0.12915,             0.98116,              0.8803,              0.9811,             0.90318,             0.18091,              0.1177
                   9,             0.13232,             0.12418,             0.98245,             0.88702,             0.98077,             0.90648,             0.17679,             0.11593
                  10,             0.12826,             0.12016,             0.98235,             0.88175,             0.98215,             0.90494,             0.17562,             0.10979
                  11,             0.12932,             0.11466,             0.98291,             0.88224,             0.98172,             0.90411,             0.17605,             0.11063
                  12,             0.12897,             0.10329,             0.98385,             0.88793,             0.98326,             0.90904,             0.17294,             0.10374
                  13,             0.12723,             0.10284,             0.98372,             0.88801,             0.98308,             0.90864,             0.17287,             0.10366
                  14,             0.12655,             0.10126,             0.98394,             0.88923,             0.98335,             0.90947,             0.17236,             0.10297
                  15,             0.12582,             0.10131,             0.98385,             0.88904,             0.98317,             0.90926,             0.17222,             0.10316
                  16,             0.12785,             0.10235,             0.98395,             0.88954,             0.98342,             0.90985,             0.17245,             0.10294
                  17,             0.12804,            0.099525,             0.98395,             0.88942,              0.9833,             0.90959,              0.1721,             0.10277
                  18,              0.1253,             0.10078,             0.98397,             0.88978,             0.98333,                0.91,             0.17189,             0.10261
                  19,             0.12464,             0.10185,             0.98394,             0.88908,              0.9831,             0.90933,             0.17199,             0.10248
                  20,             0.12662,            0.094692,             0.98397,             0.88952,             0.98327,              0.9098,             0.17207,              0.1026
                  21,             0.12494,            0.099673,             0.98391,             0.88923,             0.98321,             0.90935,             0.17197,             0.10258
                  22,              0.1271,              0.1016,             0.98393,             0.88955,             0.98321,             0.90976,             0.17209,             0.10257
                  23,             0.12728,            0.098925,             0.98395,             0.88982,             0.98318,             0.90992,             0.17205,             0.10273
                  24,              0.1268,            0.097177,             0.98393,             0.88971,             0.98325,             0.90985,             0.17205,             0.10293
                  25,             0.12778,              0.0995,             0.98391,             0.89004,             0.98322,             0.91004,             0.17198,             0.10265
                  26,             0.12743,            0.099196,             0.98388,             0.88971,             0.98315,             0.90983,               0.172,              0.1027
                  27,             0.12626,            0.096812,             0.98398,             0.88962,             0.98337,             0.90985,             0.17222,              0.1029
                  28,             0.12511,            0.097078,             0.98388,             0.88956,             0.98317,             0.90962,             0.17204,             0.10276
                  29,             0.12606,            0.098142,              0.9839,             0.88987,             0.98326,             0.91006,             0.17208,             0.10269
